press,headline
KBS,아울렛 주차장 전기차 충전소서 수리 작업하던 20대 감전사
조선비즈,‘경영난’ 中 헝다 전기차 계열사 2곳 파산 위기
한국경제TV,'빚더미' 中 헝다 전기차 계열사 2곳 파산 신청
뉴시스,"이지트로닉스, 자율주행 스타트업과 전기차 핵심 부품 개발 계약"
데일리안,"전기차 캐즘에…삼성SDI, 2분기 영업익 38% 급감"
문화일보,"현대차, WFP와 친환경 모빌리티 등 지속가능발전 맞손"
디지털타임스,"현대차, WFP에 `아이오닉5` 업무차로 지원…EV 인프라 구축도"
동아일보,"현대차-유엔세계식량계획, 모빌리티 부문 파트너십 체결"
데일리안,"현대차·기아, 프랑스서 신차 10대 중 6대는 친환경차 팔았다"
연합뉴스,"현대차, WFP와 친환경 모빌리티 등 지속가능발전 맞손"
한국경제,전기차로 도약 기회 얻은 광주글로벌모터스…캐스퍼 일렉트릭 50개국에 수출 전망
머니투데이,"현대차, 유엔세계식량계획과 모빌리티 부문 파트너십"
지디넷코리아,"현대차, 개발도상국 식량 원조 기관에 '아이오닉5' 공급"
매일경제,일론머스크가 민주당 손절한 ‘진짜 이유’…“전기차 행사 문전박대가 출발점”
연합뉴스,"두산로보틱스, 서울시·LG전자와 전기차 충전인프라 구축 업무협약 체결"
한국경제TV,"현대차·기아, 프랑스 판매 신차 10대 중 6대가 '친환경차'"
뉴시스,"""친환경차도 금메달감""…현대차·기아 프랑스서 친환경차 '인기'"
YTN,"시진핑, 이탈리아 총리에 전기차·AI 협력 등 손짓"
조선비즈,"현대차, 유엔세계식량계획과 모빌리티 파트너십 체결"
국민일보,"현대차, 아이오닉5 WFP에 기부, 이동 차량으로 활용"
매일경제,"EU 분열 파고드는 中 … 시진핑 ""伊와 전기차·AI 협력"""
연합뉴스,"두산로보틱스·서울시·LG전자, 이용 편리한 전기차 충전인프라 구축 MOU"
한국경제,"현대차, 유엔세계식량계획과 모빌리티 부문 파트너십 체결"
