press,title,tokenized
연합뉴스,"중국 전기차 토종 기업들, 중국시장서 테슬라 추격전 시동","['중국', '전기차', '토종', '기업', '중국', '시장', '테슬라', '추', '격전', '시동']"
연합뉴스,이재용-정의선 머리 맞댄 전고체 배터리는 '차세대 전기차 핵심',"['이재용', '정의선', '머리', '고체', '배터리', '차세대', '전기차', '핵심']"
중앙일보,전기차 엔진룸에 둥지 틀었다..그곳서 7남매 키운 '딱새 가족',"['전기차', '엔진룸', '둥지', '곳', '남매', '딱새', '가족']"
조선일보,[만물상] 전기차 화재,"['만물상', '전기차', '화재']"
국민일보,"SK이노, 2025년 전기차 배터리 '글로벌 1위' 전초 기지 부푼 꿈","['이노', '전기차', '배터리', '글로벌', '위', '전초', '기지', '꿈']"
연합뉴스,"""올해 전기차 배터리 출하 사상 첫 감소 전망..14% ↓""","['올해', '전기차', '배터리', '출하', '사상', '첫', '감소', '전망']"
전자신문,"[신차드라이브]""이게 전기차라고?""..현존 최강 '아우디 e-트론'","['신차', '드라이브', '이', '전기차', '존', '최강', '아우디', '트론']"
지디넷코리아,"小 주차장, 전기차 충전방해금지법 면제 왜?..정부 ""몰라""","['주차장', '전기차', '충전', '방해', '금지법', '면제', '왜', '정부']"
한국경제TV,'훨훨' 나는 전기차 시장..에코프로비엠-삼성SDI 합작법인 설립,"['훨훨', '나', '전기차', '시장', '에코', '프로비', '엠', '삼성', '합작', '법인', '설립']"
연합뉴스,中 CATL 200만km 달리는 전기차 배터리 개발..수명 16년,"['전기차', '배터리', '개발', '수명']"
전자신문,"[단독]테슬라, 韓 전기차 충전사업 '시동'..유료화 임박","['단독', '테슬라', '전기차', '충전', '사업', '시동', '유료', '임박']"
조선비즈,SUV도 전기차로.. 자율차 실내는 스위트룸처럼,"['도', '전기차', '자율', '차', '실내', '스위트룸']"
연합뉴스,전기차 싸지고 배터리 빌려 쓴다..5년 뒤 가격 1천만원↓,"['전기차', '배터리', '뒤', '가격']"
연합뉴스,'애플 전기차' 자체 배터리 기술 적용되나..K배터리 3사 '촉각',"['애플', '전기차', '자체', '배터리', '기술', '적용', '배터리', '사', '촉각']"
MBC,요금할인 사라지고 정비소 없고..전기차의 '역주행',"['요금', '할인', '정비', '소', '전기차', '역주행']"
전자신문,제네시스도 전기차 전환 가속..500km 달리는 'EV 버전' 나온다,"['제네시스', '전기차', '전환', '가속', '버전']"
중앙일보,전기차 배터리 중국 공장 10일이 고비,"['전기차', '배터리', '중국', '공장', '고비']"
